Male,Female,Image,Name,ImagePriming,NamePriming,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,priming.thisRepN,priming.thisTrialN,priming.thisN,priming.thisIndex,thisRow.t,notes,training_block.started,MAN.started,WOMAN.started,pic.started,key_resp.started,training_block.stopped,training.key_resp.keys,training.key_resp.rt,training.key_resp.duration,priming_block.started,MAN_3.started,WOMAN_3.started,name_2.started,key_resp_3.started,pic_2.started,name_2.stopped,priming_block.stopped,priming.key_resp_3.keys,priming.key_resp_3.rt,priming.key_resp_3.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,0,0,0,k,1.4842246000189334,None,,,,0,0,0,0,,,,,0.03564270003698766,,0.02896959998179227,0.03564270003698766,0.03564270003698766,0.03564270003698766,0.03564270003698766,1.596174499951303,k,1.4842246000189334,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,1,1,0,j,0.44852289999835193,None,,,,0,1,1,1,,,,,1.6195518999593332,,1.6124446999747306,1.6195518999593332,1.6195518999593332,1.6195518999593332,1.6195518999593332,2.0765114999376237,j,0.44852289999835193,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,2,2,1,j,0.9232183999847621,None,,,,1,2,2,1,,,,,2.1009101000381634,,2.0942094000056386,2.1009101000381634,2.1009101000381634,2.1009101000381634,2.1009101000381634,3.025592499994673,j,0.9232183999847621,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,3,3,1,k,0.4364372999407351,None,,,,1,3,3,0,,,,,3.049112300039269,,3.0433357999427244,3.049112300039269,3.049112300039269,3.049112300039269,3.049112300039269,3.4926502000307664,k,0.4364372999407351,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,4,4,2,k,0.2663099999772385,None,,,,2,4,4,0,,,,,3.5169988999841735,,3.5109206000342965,3.5169988999841735,3.5169988999841735,3.5169988999841735,3.5169988999841735,3.792678599944338,k,0.2663099999772385,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,5,5,2,j,0.2736508999951184,None,,,,2,5,5,1,,,,,3.8163089000154287,,3.811098200036213,3.8163089000154287,3.8163089000154287,3.8163089000154287,3.8163089000154287,4.092483500018716,j,0.2736508999951184,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,6,6,3,j,0.24716050003189594,None,,,,3,6,6,1,,,,,4.116566899931058,,4.111085399985313,4.116566899931058,4.116566899931058,4.116566899931058,4.116566899931058,4.375918600009754,j,0.24716050003189594,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,7,7,4,j,0.29274330008774996,None,,,,4,7,7,1,,,,,4.39991789998021,,4.3940868999343365,4.39991789998021,4.39991789998021,4.39991789998021,4.39991789998021,4.709426800021902,j,0.29274330008774996,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,8,8,5,j,0.24363240005914122,None,,,,5,8,8,1,,,,,4.732734699966386,,4.727605600026436,4.732734699966386,4.732734699966386,4.732734699966386,4.732734699966386,4.992902799975127,j,0.24363240005914122,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,9,9,6,j,0.26817759999539703,None,,,,6,9,9,1,,,,,5.01605480001308,,5.010896599967964,5.01605480001308,5.01605480001308,5.01605480001308,5.01605480001308,5.292223899974488,j,0.26817759999539703,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,10,10,7,j,0.28860319999512285,None,,,,7,10,10,1,,,,,5.314866599976085,,5.309446500032209,5.314866599976085,5.314866599976085,5.314866599976085,5.314866599976085,5.609182200045325,j,0.28860319999512285,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,11,11,8,j,0.28354890004266053,None,,,,8,11,11,1,,,,,5.633445999934338,,5.627575699938461,5.633445999934338,5.633445999934338,5.633445999934338,5.633445999934338,5.925395800033584,j,0.28354890004266053,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,12,12,3,k,0.30503619997762144,None,,,,3,12,12,0,,,,,5.94730769994203,,5.941564199980348,5.94730769994203,5.94730769994203,5.94730769994203,5.94730769994203,6.258633099962026,k,0.30503619997762144,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,13,13,4,k,0.2941480999579653,None,,,,4,13,13,0,,,,,6.283122699940577,,6.277303499984555,6.283122699940577,6.283122699940577,6.283122699940577,6.283122699940577,6.592862499994226,k,0.2941480999579653,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,14,14,5,k,0.2526266999775544,None,,,,5,14,14,0,,,,,6.617164499941282,,6.61172709998209,6.617164499941282,6.617164499941282,6.617164499941282,6.617164499941282,6.8757809000089765,k,0.2526266999775544,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
กฤษณะ,กาญจนา,men.png,กฤษณะ,men.png,กฤษณะ,15,15,6,k,0.25847709993831813,None,,,,6,15,15,0,,,,,6.899254599935375,,6.8941476999316365,6.899254599935375,6.899254599935375,6.899254599935375,6.899254599935375,7.158802999998443,k,0.25847709993831813,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
นเรศ,พิมพ์ใจ,women.png,นเรศ,men.png,นเรศ,16,16,9,j,0.2911958999466151,None,,,,9,16,16,1,,,,,7.180595200043172,,7.175237499992363,7.180595200043172,7.180595200043172,7.180595200043172,7.180595200043172,7.475164199946448,j,0.2911958999466151,None,,,,,,,,,,,,295552,001,2025-09-25_16h02.31.942,Priming_gender,,2025.1.1,59.45536506579847,2025-09-25 16h02.39.708374 +0700,
